2022-11-30 01:15:52,637 | UposService | INFO | error to do 'GetAHUSetSupData('2021-04-01 10:15:29')'
2022-11-30 01:16:14,780 | UposService | INFO | error to do 'GetAHUSetSupData('2021-04-01 10:15:29')'
2022-11-30 01:16:14,800 | UposService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-30 01:16:14,818 | UposService | INFO | error to do 'GetAHUInfo('')
2022-11-30 01:16:39,543 | UposService | INFO | error to do 'GetAHUSetSupData('2021-04-01 10:15:29')'
2022-11-30 01:19:09,899 | UposService | INFO | error to do 'GetAHUSetSupData('2021-04-01 00:00:29')'
2022-11-30 01:21:18,758 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:20')'
2022-11-30 01:24:33,894 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 00:00:29')'
2022-11-30 01:25:22,595 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:25')'
2022-11-30 01:25:52,447 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:25:29')'
2022-11-30 01:26:14,404 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:25:29')'
2022-11-30 01:26:36,465 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:25:29')'
2022-11-30 01:27:02,364 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:25:29')'
2022-11-30 01:27:23,917 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:25:29')'
2022-11-30 01:27:46,070 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:25:29')'
2022-11-30 01:28:08,625 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:25:29')'
2022-11-30 01:30:38,908 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:30')'
2022-11-30 01:31:01,110 | UposService | INFO | succeed to do 'GetAHUSetSupData('20210401103029')'
2022-11-30 01:35:23,924 | UposService | INFO | succeed to do 'GetAHUSetSupData('20210401103529')'
2022-11-30 01:35:56,126 | UposService | INFO | succeed to do 'GetAHUSetSupData('20210401103529')'
2022-11-30 01:38:02,624 | UposService | INFO | succeed to do 'GetAHUSetSupData('20210401103529')'
2022-11-30 01:39:04,187 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:35:29')'
2022-11-30 01:41:02,343 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:40')'
2022-11-30 01:46:07,262 | UposService | INFO | succeed to do 'GetAHUSetSupData('2021-04-01 10:45')'
2022-11-30 01:46:19,928 | UposService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-30 01:46:20,043 | UposService | INFO | error to do 'GetAHUInfo('')
2022-11-30 01:46:25,109 | UposService | INFO | error to do 'GetAHUInfo('CH-A1203')
2022-11-30 01:46:27,022 | UposService | INFO | error to do 'GetAHUInfo('CH-A1202')
2022-11-30 01:46:29,126 | UposService | INFO | error to do 'GetAHUInfo('CH-A1201')
2022-11-30 01:46:36,672 | UposService | INFO | error to do 'GetAHUInfo('CH-A1202')
2022-11-30 01:46:38,755 | UposService | INFO | error to do 'GetAHUInfo('CH-A1201')
2022-11-30 02:28:25,673 | UposService | INFO | error to do 'GetAHUData('CHR016','20221005','20221005')'
2022-11-30 02:28:26,348 | UposService | INFO | error to do 'GetAHUData('CHR016','20221005','20221005')'
2022-11-30 02:28:26,564 | UposService | INFO | error to do 'GetAHUData('CHR016','20221005','20221005')'
