2022-11-24 01:31:03,716 | FemsService | INFO | succeed to do 'GetLpDataDaily('2022-04-01',2022-04-02)'
2022-11-24 01:31:29,921 | FemsService | INFO | succeed to do 'GetLpDataDaily('2022-04-01',2022-04-02)'
2022-11-24 01:31:43,239 | FemsService | INFO | succeed to do 'GetLpDataDaily('2022-04-01',2022-05-02)'
2022-11-24 01:31:56,556 | FemsService | INFO | succeed to do 'GetLpDataDaily('2022-04-01',2022-07-02)'
2022-11-24 01:31:57,428 | FemsService | INFO | succeed to do 'GetLpDataDaily('2022-04-01',2022-07-02)'
2022-11-24 01:31:57,631 | FemsService | INFO | succeed to do 'GetLpDataDaily('2022-04-01',2022-07-02)'
2022-11-24 01:32:51,864 | FemsService | INFO | succeed to do 'GetLpDataDaily('2022.04.01',2022.07.02)'
2022-11-24 01:32:59,713 | FemsService | INFO | succeed to do 'GetLpDataDaily('20220401',20220702)'
2022-11-24 23:18:59,064 | FemsService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-24 23:18:59,148 | FemsService | INFO | succeed to do 'GetAHUInfo('AHU-01')'
2022-11-24 23:18:59,623 | FemsService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-24 23:18:59,734 | FemsService | INFO | succeed to do 'GetAHUInfo('AHU-01')'
2022-11-24 23:18:59,859 | FemsService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-24 23:18:59,943 | FemsService | INFO | succeed to do 'GetAHUInfo('AHU-01')'
2022-11-24 23:19:00,109 | FemsService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-24 23:19:00,215 | FemsService | INFO | succeed to do 'GetAHUInfo('AHU-01')'
2022-11-24 23:19:00,325 | FemsService | INFO | succeed to do 'GetAHUConfiguration()'
2022-11-24 23:19:00,415 | FemsService | INFO | succeed to do 'GetAHUInfo('AHU-01')'
2022-11-24 23:19:00,533 | FemsService | INFO | succeed to do 'GetAHUConfiguration()'
